"player_mlb_id","playerID_LAHMAN","birthYear","birthMonth","birthDay","birthCountry","weight","height","bats","throws","debut","birthDate"
"0629cd765e77d52b8a43cb56621c82d949e50323","146ae8ecba2a3af909b0814df68b5d49583f5ec5",1985,12,17,"D.R.",235,74,"L","L",2010-07-28,1985-12-17
"33438ca2fdf93ff73b2e1bcc5da3058a04cf1661","543bb62c4bdd4911df4bd1a2313a975300d04ee6",1995,9,20,"USA",220,74,"R","R",2021-06-05,1995-09-20
"f79cf1f3d100e5f34d86ce2cd4c8c35ca3daee77","e195c4bc19cb6a08203e3c9e361677b73dbfdc03",2000,10,3,"USA",185,74,"L","R",2022-04-08,2000-10-03
,"7265712e9970a0afa6ad8214b7425382051f06da",1995,9,26,"D.R.",190,74,"R","R",2020-08-08,1995-09-26
"3d65b1ac983ce90ff1f21f56b627883affc7dad1","0029980d1ad27d254bc1f60e31a32fcdd150ea37",1997,4,22,"D.R.",225,73,"R","R",2019-07-31,1997-04-22
"80f3a94c7bf1ed6397017744dbb75ff931902e2d","d851612368c1e9612c0c2a444018af96a59bf0b9",1987,1,29,"Cuba",235,75,"R","R",2014-03-31,1987-01-29
"3304ddb1ae3c28e484f383e6609fd35f1778ddf7","c8bc5aabe2cccc7fb3b5e9d74cd9ee9ee67be704",1994,3,6,"D.R.",240,79,"R","R",2021-06-21,1994-03-06
"b4246bd7233f08e749626eb0b7647d295f2e37b7","330040146cac722cbbb3b1e86382e36e850da06e",1997,12,18,"Venezuela",205,72,"R","R",2018-04-25,1997-12-18
"a70005cbd23e1b20e856625d4ad363fa8d61788b","d5c5366743bd68d9d3c9f2da1d5ba337cd6ad729",1991,7,26,"D.R.",217,71,"B","R",2014-07-29,1991-07-26
"81272c934b63edda7b2c6ca9f268f5a594ce5131","9c4ebd617a2865a01c7ee911f9a429715209d41c",1995,9,2,"D.R.",210,72,"R","R",2018-05-22,1995-09-02
"45be69e7dbc2d4b228aeb07ec08590cfdc6ff091","291aecd3e6d853b1682916a6f5102574082df536",1991,8,4,"USA",229,75,"R","R",2018-05-05,1991-08-04
,"4b67b67004c674edb2a062af947f54a9867054aa",1986,8,19,"USA",205,71,"R","R",2014-07-12,1986-08-19
"9d1d3eb706cc040e7b2b4399ae24a0ab37d64484","8c3958fa78e8f0dfc54f1db1ca524f08430090ac",1991,5,5,"USA",220,75,"R","R",2017-07-15,1991-05-05
"62e72eb7cb31f026a09374683dfdc5b318d6ddd7","e116ae31a2fbc4df150ce8046864fdebf1b67ac1",1994,8,10,"USA",215,73,"R","R",2018-08-04,1994-08-10
"14c00439500ed1324a46a3b56fe013675b339e12","d3c2453fc77561c4f04e30af6c3e3b5918aa3aa0",1989,11,13,"USA",190,76,"R","R",2014-09-01,1989-11-13
"c296dc19142d27a8a0d4a738256f7423945d04b6","34954a3b5ca8f1b45f0b7b34e6249751c28262e1",1988,8,31,"USA",245,75,"L","R",2012-05-20,1988-08-31
"07fdf16fffcf71dcb7fb848addba74df1ee36048","eda6abd92fa24d81467535459a71e1222831d7ec",1996,6,26,"USA",249,76,"R","R",2021-06-08,1996-06-26
"05063158c29992d07eec3d01671a8ce5eb0f55f6","73ecbb8bbab9bd87c60c3f7cce6259ba471cb89e",1985,5,15,"CAN",210,74,"L","L",2013-09-01,1985-05-15
"25d492f82219a3acdde6d8b08201ba02ba3ff3a6","edb8e4217f1fc274933b9cb4646307ef65ff1fba",1999,4,8,"USA",215,75,"R","R",2020-08-04,1999-04-08
,"c98d660db66fb9efe1e0c857654e1e5832b8e94a",1987,11,13,"USA",225,77,"R","R",2016-05-01,1987-11-13
"dd6c9bdedfa4c202e82a5c8f13beec54e8a883c9","9cb98f4aebf2fb8f05160d8afcfd5a4c1c4063d0",1998,8,12,"D.R.",246,74,"R","R",2021-10-03,1998-08-12
